Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words
Singson et al. (2000),33,Foil,regularity,0,199877,0.0
Singson et al. (2000),33,Foil,regular,1,199877,0.005003076892288758
Singson et al. (2000),34,Target,colonize,0,199877,0.0
Singson et al. (2000),34,Foil,colonist,0,199877,0.0
Singson et al. (2000),34,Foil,colonization,0,199877,0.0
Singson et al. (2000),34,Foil,colonial,0,199877,0.0
Singson et al. (2000),35,Target,glorious,2,199877,0.010006153784577516
Singson et al. (2000),35,Foil,gloriousness,0,199877,0.0
Singson et al. (2000),35,Foil,glorify,0,199877,0.0
Singson et al. (2000),35,Foil,glorification,0,199877,0.0
Singson et al. (2000),36,Target,deadness,0,199877,0.0
Singson et al. (2000),36,Foil,dead,6,199877,0.030018461353732546
Singson et al. (2000),36,Foil,deadly,0,199877,0.0
Singson et al. (2000),36,Foil,deaden,0,199877,0.0
Singson et al. (2000),37,Target,active,1,199877,0.005003076892288758
Singson et al. (2000),37,Foil,activation,0,199877,0.0
Singson et al. (2000),37,Foil,activity,1,199877,0.005003076892288758
Singson et al. (2000),37,Foil,activate,0,199877,0.0
Singson et al. (2000),38,Target,critical,0,199877,0.0
Singson et al. (2000),38,Foil,critically,0,199877,0.0
Singson et al. (2000),38,Foil,criticism,0,199877,0.0
Singson et al. (2000),38,Foil,criticize,0,199877,0.0
Singson et al. (2000),39,Target,conversationalist,0,199877,0.0
Singson et al. (2000),39,Foil,conversational,0,199877,0.0
Singson et al. (2000),39,Foil,converse,0,199877,0.0
Singson et al. (2000),39,Foil,conversation,2,199877,0.010006153784577516
Singson et al. (2000),40,Target,diversify,0,199877,0.0
Singson et al. (2000),40,Foil,diversionary,0,199877,0.0
Singson et al. (2000),40,Foil,diversity,0,199877,0.0
Singson et al. (2000),40,Foil,diversion,0,199877,0.0
Nagy et al. (2003),41,Target,directions,1,199877,0.005003076892288758
Nagy et al. (2003),41,Foil,directs,1,199877,0.005003076892288758
Nagy et al. (2003),41,Foil,directing,1,199877,0.005003076892288758
Nagy et al. (2003),41,Foil,directed,1,199877,0.005003076892288758
Nagy et al. (2003),42,Target,loveliest,0,199877,0.0
Nagy et al. (2003),42,Foil,loving,7,199877,0.035021538246021305
Nagy et al. (2003),42,Foil,lovingly,0,199877,0.0
Nagy et al. (2003),42,Foil,loveliness,1,199877,0.005003076892288758
Nagy et al. (2003),43,Target,announcement,1,199877,0.005003076892288758
Nagy et al. (2003),43,Foil,announce,0,199877,0.0
Nagy et al. (2003),43,Foil,announcing,0,199877,0.0
Nagy et al. (2003),43,Foil,announced,12,199877,0.06003692270746509
Nagy et al. (2003),44,Target,quickness,0,199877,0.0
Nagy et al. (2003),44,Foil,quicker,4,199877,0.020012307569155032
Nagy et al. (2003),44,Foil,quickly,34,199877,0.17010461433781776
Nagy et al. (2003),44,Foil,quickest,0,199877,0.0
Nagy et al. (2003),45,Target,creation,0,199877,0.0
Nagy et al. (2003),45,Foil,creative,0,199877,0.0
Nagy et al. (2003),45,Foil,creator,0,199877,0.0
Nagy et al. (2003),45,Foil,creates,0,199877,0.0
James et al. (2021),96,Target,picks,9,199877,0.045027692030598816
James et al. (2021),96,Foil,pickes,0,199877,0.0
James et al. (2021),96,Foil,picker,5,199877,0.025015384461443788
James et al. (2021),97,Target,carried,22,199877,0.11006769163035267
James et al. (2021),97,Foil,carries,4,199877,0.020012307569155032
James et al. (2021),97,Foil,carrying,13,199877,0.06503999959975386
James et al. (2021),98,Target,laughs,3,199877,0.015009230676866273
James et al. (2021),98,Foil,laughing,16,199877,0.08004923027662013
James et al. (2021),98,Foil,laugher,0,199877,0.0
James et al. (2021),99,Target,plants,10,199877,0.050030768922887575
James et al. (2021),99,Foil,planted,1,199877,0.005003076892288758
James et al. (2021),99,Foil,plantes,0,199877,0.0
James et al. (2021),100,Target,played,26,199877,0.13007999919950772
James et al. (2021),100,Foil,playing,42,199877,0.21012922947612783
James et al. (2021),100,Foil,plays,10,199877,0.050030768922887575
James et al. (2021),101,Target,geese,6,199877,0.030018461353732546
James et al. (2021),101,Foil,goosed,0,199877,0.0
James et al. (2021),101,Foil,geeses,0,199877,0.0
James et al. (2021),102,Target,fought,1,199877,0.005003076892288758
James et al. (2021),102,Foil,fighted,0,199877,0.0
James et al. (2021),102,Foil,fighting,3,199877,0.015009230676866273
James et al. (2021),103,Target,benches,0,199877,0.0
James et al. (2021),103,Foil,benchs,0,199877,0.0
James et al. (2021),103,Foil,benched,0,199877,0.0
James et al. (2021),104,Target,chooses,0,199877,0.0
James et al. (2021),104,Foil,choose,13,199877,0.06503999959975386
James et al. (2021),104,Foil,chooser,0,199877,0.0
James et al. (2021),105,Target,sent,46,199877,0.23014153704528284
James et al. (2021),105,Foil,sends,1,199877,0.005003076892288758
James et al. (2021),105,Foil,sended,0,199877,0.0
James et al. (2021),106,Target,shelves,3,199877,0.015009230676866273
James et al. (2021),106,Foil,shelfs,0,199877,0.0
James et al. (2021),106,Foil,shelver,0,199877,0.0
James et al. (2021),107,Target,teaches,3,199877,0.015009230676866273
James et al. (2021),107,Foil,teached,0,199877,0.0
James et al. (2021),107,Foil,teacher,31,199877,0.1550953836609515
James et al. (2021),122,Target,stillness,2,199877,0.010006153784577516
James et al. (2021),122,Foil,stillist,0,199877,0.0
James et al. (2021),122,Foil,stilled,0,199877,0.0
James et al. (2021),123,Target,musician,0,199877,0.0
James et al. (2021),123,Foil,musics,0,199877,0.0
James et al. (2021),123,Foil,musicker,0,199877,0.0
James et al. (2021),124,Target,celebration,3,199877,0.015009230676866273
James et al. (2021),124,Foil,celebratism,0,199877,0.0
James et al. (2021),124,Foil,celebrates,0,199877,0.0
James et al. (2021),125,Target,thunderous,1,199877,0.005003076892288758
James et al. (2021),125,Foil,thunderive,0,199877,0.0
James et al. (2021),125,Foil,thundered,2,199877,0.010006153784577516
James et al. (2021),126,Target,inclusive,0,199877,0.0
James et al. (2021),126,Foil,includish,0,199877,0.0
James et al. (2021),126,Foil,includes,0,199877,0.0
James et al. (2021),127,Target,treatment,0,199877,0.0
James et al. (2021),127,Foil,treatage,0,199877,0.0
James et al. (2021),127,Foil,treated,0,199877,0.0
James et al. (2021),128,Target,walkable,0,199877,0.0
James et al. (2021),128,Foil,walkous,0,199877,0.0
James et al. (2021),128,Foil,walks,8,199877,0.040024615138310064
James et al. (2021),129,Target,plasticity,0,199877,0.0
James et al. (2021),129,Foil,plasticker,0,199877,0.0
James et al. (2021),129,Foil,plasticked,0,199877,0.0
James et al. (2021),130,Target,signage,0,199877,0.0
James et al. (2021),130,Foil,signity,0,199877,0.0
James et al. (2021),130,Foil,signed,0,199877,0.0
James et al. (2021),131,Target,angelic,1,199877,0.005003076892288758
James et al. (2021),131,Foil,angelant,0,199877,0.0
James et al. (2021),131,Foil,angels,8,199877,0.040024615138310064
Nagy et al. (2006),41,Target,directions,1,199877,0.005003076892288758
Nagy et al. (2006),41,Foil,directs,1,199877,0.005003076892288758
Nagy et al. (2006),41,Foil,directing,1,199877,0.005003076892288758
Nagy et al. (2006),41,Foil,directed,1,199877,0.005003076892288758
Nagy et al. (2006),42,Target,loveliest,0,199877,0.0
Nagy et al. (2006),42,Foil,loving,7,199877,0.035021538246021305
Nagy et al. (2006),42,Foil,lovingly,0,199877,0.0
Nagy et al. (2006),42,Foil,loveliness,1,199877,0.005003076892288758
Nagy et al. (2006),43,Target,announcement,1,199877,0.005003076892288758
Nagy et al. (2006),43,Foil,announce,0,199877,0.0
Nagy et al. (2006),43,Foil,announcing,0,199877,0.0
Nagy et al. (2006),43,Foil,announced,12,199877,0.06003692270746509
Nagy et al. (2006),44,Target,quickness,0,199877,0.0
Nagy et al. (2006),44,Foil,quicker,4,199877,0.020012307569155032
Nagy et al. (2006),44,Foil,quickly,34,199877,0.17010461433781776
Nagy et al. (2006),44,Foil,quickest,0,199877,0.0
Nagy et al. (2006),45,Target,creation,0,199877,0.0
Nagy et al. (2006),45,Foil,creative,0,199877,0.0
Nagy et al. (2006),45,Foil,creator,0,199877,0.0
Nagy et al. (2006),45,Foil,creates,0,199877,0.0
